1.2,0,100.00
3.4,0,100.00
2.1,0,100.00
3.19,0,100.00
3.7,0,99.62
0.1,2,0.00
0.7,0,93.75
0.61,2,0.00
2.0,0,100.00
1.4,0,100.00
0.19,1,0.00
2.0,2,0.00
4.0,1,0.00
9.0,1,0.00
4.1,1,7.18
1.0,0,84.55
1.0,1,0.00
0.7,1,0.00
6.0,1,72.08
0.70,2,0.00
1.0,2,0.00
0.99,0,96.62
0.4,0,85.71
1.0,0,100.00
8.0,1,0.00
2.1,0,100.00
0.18,0,95.94
8.2,1,0.00
7.2,0,97.66
5.7,0,100.00
1.5,0,100.00
0.8,0,100.00
1.6,0,91.35
0.11,0,100.00
2.8,1,0.00
4.0,2,0.00
3.7,1,0.00
3.8,0,98.12
6.5,1,39.17
2022.11,0,97.71
0.56,2,0.00
0.59,1,0.00
2.8,0,84.38
1.23,0,88.55
1.24,0,95.24
1.5,0,99.59
3.2,0,99.85
2.104,1,56.76
1.12,2,0.00
1.15,0,99.28
1.16,2,0.00
1.11,1,0.00
1.14,0,79.10
1.17,0,98.31
0.27,0,80.70
0.11,2,0.00
0.1,2,0.00
4.6,2,0.00
4.6,2,0.00
3.0,0,99.55
2.4,2,0.00
3.3,0,99.91
0.12,1,0.00
3.1,2,0.00
3.2,0,98.30
1.3,0,99.82
2.2,0,83.76
1.1,2,0.00
3.8,1,0.00
3.9,1,0.17
9.0,1,0.00
6.1,1,0.00
21,0,100.00
1.6,0,100.00
1.5,0,86.84
2.4,0,99.45
2.12,0,99.76
1.19,0,100.00
0.8,0,91.49
2.3,0,100.00
0.3,1,0.00
0.10,0,100.00
0.10,0,100.00
0.5,0,98.65
5.11,1,0.00
3.15,0,100.00
2.1,0,99.83
0.13,0,100.00
0.6,0,100.00
4.8,1,29.91
8.13,1,49.34
0.7,0,100.00
1.3,0,83.57
10.2,0,99.00
10.3,0,99.03
9.3,0,98.15
9.3,0,98.17
0.20,0,99.09
22.3,1,58.47
6.11,0,90.05
1.9,0,100.00
3.0,0,100.00
5.11,1,0.00
1.0,0,100.00
3.1,0,90.91
0.8,0,100.00
2.20,1,0.00
3.0,2,0.00
3.5,0,100.00
1.6,0,100.00
4.2,0,100.00
0.15,0,100.00
3.0,0,100.00
1.1,0,100.00
1.1,0,100.00
4.21,1,0.00
5.9,0,76.03
5.9,0,93.68
5.9,1,0.00
2.9,0,98.11
2.9,0,98.25
2.9,0,98.11
0.7,1,14.29
0.2,0,97.87
1.11,0,91.22
0.3,2,0.00
0.10,2,0.00
21.10,0,100.00
12.0,0,98.15
15.0,0,98.22
0.4,0,97.90
0.2,0,100.00
0.2,1,42.31
0.9,1,0.00
2.10,2,0.00
2.10,0,98.11
2.2,0,98.46
3.16,1,0.00
3.16,1,0.00
1.10,1,0.00
0.12,2,0.00
2.3,0,99.64
6.1,2,0.00
1.4,0,93.75
2.2,0,99.60
0.25,1,0.00
0.8,0,100.00
3.0,0,99.45
2.1,2,0.00
1.5,0,100.00
2.13,0,100.00
3.42,1,0.00
2.6,1,0.00
2.15,1,0.00
10.0,0,98.95
4.3,0,99.45
0.9,1,0.00
2.4,2,0.00
1.5,0,100.00
1.0,1,0.00
1.1,1,0.00
4.0,1,0.00
22.1,1,0.00
1.1,0,87.50
3.0,0,100.00
2.11,2,0.00
3.0,2,0.00
1.8,0,100.00
3.4,0,98.93
0.13,1,0.00
2.0,0,99.89
0.19,0,100.00
0.20,1,0.00
3.5,0,93.48
5.15,2,0.00
1.7,0,100.00
3.9,1,0.00
3.4,1,0.00
0.9,0,99.70
0.3,0,89.58
7.2,0,97.45
8.0,0,98.54
8.3,0,98.57
0.20,1,0.00
4.0,0,94.14
4.0,1,62.50
4.5,1,0.00
4.8,0,79.40
1.1,0,100.00
1.6,0,90.91
3.10,0,98.72
0.10,0,84.21
6.0,1,44.44
0.9,1,0.00
1.0,0,83.00
2.1,0,75.47
3.1,0,93.30
2.8,0,98.71
0.21,0,93.10
1.0,2,0.00
3.3,0,99.79
2.0,0,100.00
0.4,0,95.00
0.0,0,90.38
7.0,0,98.77
1.8,2,0.00
4.0,1,0.00
2022,0,100.00
6.0,0,100.00
24.0,0,98.04
7.3,0,98.63
2.3,2,0.00
1.3,2,0.00
2.3,2,0.00
2.9,2,0.00
6.2,1,0.00
37,0,87.67
0.7,1,60.71
4.4,0,99.59
2022.10,0,99.01
3.6,1,0.00
2.28,0,99.49
0.9,1,41.98
0.14,0,100.00
1.10,0,100.00
1.3,0,95.59
0.10,0,100.00
0.22,0,95.38
1.3,0,100.00
2.0,0,100.00
12.6,0,94.27
6.0,1,5.98
4.9,0,98.85
0.17,0,99.76
2022.11,1,8.38
0.10,1,49.39
0.6,2,0.00
0.0,2,0.00
22.9,2,0.00
23.12,1,0.00
1.1,0,82.86
0.7,0,100.00
0.19,2,0.00
1.1,1,65.03
1.2,0,85.12
1.10,1,63.17
2.7,1,0.00
0.12,1,65.38
0.13,1,0.00
3.3,1,26.92
1.16,2,0.00
4.20,2,0.00
4.7,1,0.00
2.10,0,100.00
2.13,1,50.00
3.0,0,100.00
2.2,2,0.00
0.1,1,0.00
1.15,0,87.63
1.3,0,82.14
1.3,0,82.14
65.5,0,89.31
65.6,2,0.00
7.0,0,100.00
1.4,2,0.00
1.14,1,14.86
0.41,2,0.00
0.45,2,0.00
2.0,0,99.97
3.18,0,100.00
1.16,0,100.00
1.1,2,0.00
1.1,2,0.00
0.19,2,0.00
0.24,0,96.94
2.9,0,98.89
0.0,2,0.00
6.3,2,0.00
